"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged","usd_pledged_real","usd_goal_real"
"243954",31078929,"The Robinson Age // Double Album Release","Rock","Music","USD","10/21/2012",800,"9/21/2012 2:20",938.01,"successful",22,"US",938.01,938.01,800
"88353",1449260016,"To Love and Be Cherished: Finding True Love With A Real Man","Young Adult","Publishing","USD","3/26/2016",4000,"2/25/2016 17:48",105,"failed",3,"US",105,105,4000
"263066",407896411,"""Loveandpizza.it"" - a  novel","Fiction","Publishing","GBP","1/14/2016",5000,"12/15/2015 19:50",0,"failed",0,"GB",0,0,7166.1
"213404",2087608014,"By Yamanote - A travel photo book from Tokyo, Japan","Places","Photography","GBP","4/2/2015",2000,"3/3/2015 23:12",1,"canceled",1,"GB",1.54,1.48,2960.64
"235452",266996087,"BAD EATS: A YouTube show about bad food.","Film & Video","Film & Video","USD","2/14/2017",99,"1/31/2017 0:50",130,"successful",6,"US",22,130,99
"88245",1448706650,"Help Fund the ""Vegas Duets"" Album","Music","Music","USD","3/5/2014",500,"2/3/2014 17:38",525,"successful",14,"US",525,525,500
"337847",790916836,"Film Score Recording","Music","Music","USD","12/15/2015",1000,"11/24/2015 11:52",0,"failed",0,"US",0,0,1000
"111151",1564738901,"Date Night ""Butt Rub""","Food","Food","USD","3/15/2017",2000,"2/13/2017 18:52",614,"failed",20,"US",96,614,2000
"375594",984202251,"Drew's Art Show 2012","Painting","Art","USD","8/13/2012",700,"6/29/2012 3:28",1066,"successful",14,"US",1066,1066,700
"57375",1291970322,"Canton One Acts Festival 2017","Festivals","Theater","USD","10/12/2016",300,"9/12/2016 1:17",431,"successful",10,"US",175,431,300
"156076",1793829805,"Gruesome Playground Injuries","Plays","Theater","USD","6/19/2015",2500,"5/20/2015 3:00",2520,"successful",71,"US",2520,2520,2500
"328271",742227404,"Makin' pizza (Canceled)","Food","Food","USD","8/27/2014",1500,"7/28/2014 21:50",0,"canceled",0,"US",0,0,1500
"319263",696128020,"Rivertown: A Tale of the Unforeseen Blade","Fiction","Publishing","CAD","3/20/2015",10000,"2/20/2015 2:44",1156,"failed",27,"CA",932.35,912.25,7891.41
"328274",742251181,"World's Most Durable Duffle Bag","Product Design","Design","CAD","7/10/2016",20000,"5/27/2016 21:04",25050,"successful",65,"CA",18530.45,19469.92,15544.85
"131085",166543601,"Online personal training","Web","Technology","GBP","11/28/2014",1500,"10/28/2014 23:39",0,"failed",0,"GB",0,0,2354.38
"306929",633149608,"Dog Man (The Dick Russell Story) HELP REACH NEW GOAL OF 36K!","Documentary","Film & Video","USD","6/19/2012",18000,"4/20/2012 15:05",30121,"successful",227,"US",30121,30121,18000
"353821",872376268,"Summer Art Exhibits to Present Myself","Painting","Art","USD","3/24/2014",4300,"2/22/2014 12:01",115,"failed",3,"US",115,115,4300
"347903",842310039,"Private School {class of their own}","Apparel","Fashion","USD","8/9/2014",10000,"7/11/2014 21:00",25,"failed",1,"US",25,25,10000
"123439",1626768943,"Bayou L'Abeille the Audiobook","Fiction","Publishing","USD","2/14/2017",3000,"12/26/2016 1:25",75,"canceled",3,"US",25,75,3000
"295764",575406210,"Beats dance rymes","Hip-Hop","Music","USD","6/11/2013",1500,"5/9/2013 5:03",0,"failed",0,"US",0,0,1500
"59849",1304300055,"Azac and Tracy Michelle Couture Growth Fund","Couture","Fashion","USD","5/10/2017",2000,"4/10/2017 22:59",820,"failed",11,"US",0,820,2000
"266576",426152153,"LiD Magazine Issue No.2","Periodicals","Publishing","GBP","5/12/2014",3000,"3/13/2014 19:56",3926,"successful",92,"GB",6528.54,6599.21,5042.69
