School,Overall Wins,Overall Losses,Winning Percentage
Air Force,11,2,84.62%
Akron,0,12,0.00%
Alabama,11,2,84.62%
Alabama at Birmingham,9,5,64.29%
Appalachian State,13,1,92.86%
Arizona,4,8,33.33%
Arizona State,8,5,61.54%
Arkansas,2,10,16.67%
Arkansas State,8,5,61.54%
Army,5,8,38.46%
Auburn,9,4,69.23%
Ball State,5,7,41.67%
Baylor,11,3,78.57%
Boise State,12,2,85.71%
Boston College,6,7,46.15%
Bowling Green,3,9,25.00%
Brigham Young,7,6,53.85%
Buffalo,8,5,61.54%
California,8,5,61.54%
Central Florida,10,3,76.92%
Central Michigan,8,6,57.14%
Charlotte,7,6,53.85%
Cincinnati,11,3,78.57%
Clemson,14,1,93.33%
Coastal Carolina,5,7,41.67%
Colorado,5,7,41.67%
Colorado State,4,8,33.33%
Connecticut,2,10,16.67%
Duke,5,7,41.67%
East Carolina,4,8,33.33%
Eastern Michigan,6,7,46.15%
Florida,11,2,84.62%
Florida Atlantic,11,3,78.57%
Florida International,6,7,46.15%
Florida State,6,7,46.15%
Fresno State,4,8,33.33%
Georgia,12,2,85.71%
Georgia Southern,7,6,53.85%
Georgia State,7,6,53.85%
Georgia Tech,3,9,25.00%
Hawaii,10,5,66.67%
Houston,4,8,33.33%
Illinois,6,7,46.15%
Indiana,8,5,61.54%
Iowa,10,3,76.92%
Iowa State,7,6,53.85%
Kansas,3,9,25.00%
Kansas State,8,5,61.54%
Kent State,7,6,53.85%
Kentucky,8,5,61.54%
Liberty,8,5,61.54%
Louisiana Tech,10,3,76.92%
Louisiana-Lafayette,11,3,78.57%
Louisiana-Monroe,5,7,41.67%
Louisville,8,5,61.54%
LSU,15,0,100.00%
Marshall,8,5,61.54%
Maryland,3,9,25.00%
Massachusetts,1,11,8.33%
Memphis,12,2,85.71%
Miami (Fla.),6,7,46.15%
Miami (Ohio),8,6,57.14%
Michigan,9,4,69.23%
Michigan State,7,6,53.85%
Middle Tennessee,4,8,33.33%
Minnesota,11,2,84.62%
Mississippi,4,8,33.33%
Mississippi State,6,7,46.15%
Missouri,6,6,50.00%
Navy,11,2,84.62%
Nebraska,5,7,41.67%
Nevada,7,6,53.85%
Nevada-Las Vegas,4,8,33.33%
New Mexico,2,10,16.67%
New Mexico State,2,10,16.67%
North Carolina,7,6,53.85%
North Carolina State,4,8,33.33%
North Texas,4,8,33.33%
Northern Illinois,5,7,41.67%
Northwestern,3,9,25.00%
Notre Dame,11,2,84.62%
Ohio,7,6,53.85%
Ohio State,13,1,92.86%
Oklahoma,12,2,85.71%
Oklahoma State,8,5,61.54%
Old Dominion,1,11,8.33%
Oregon,12,2,85.71%
Oregon State,5,7,41.67%
Penn State,11,2,84.62%
Pittsburgh,8,5,61.54%
Purdue,4,8,33.33%
Rice,3,9,25.00%
Rutgers,2,10,16.67%
San Diego State,10,3,76.92%
San Jose State,5,7,41.67%
South Alabama,2,10,16.67%
South Carolina,4,8,33.33%
South Florida,4,8,33.33%
Southern California,8,5,61.54%
Southern Methodist,10,3,76.92%
Southern Mississippi,7,6,53.85%
Stanford,4,8,33.33%
Syracuse,5,7,41.67%
Tennessee,8,5,61.54%
Texas,8,5,61.54%
Texas A&M,8,5,61.54%
Texas Christian,5,7,41.67%
Texas State,3,9,25.00%
Texas Tech,4,8,33.33%
Texas-El Paso,1,11,8.33%
Texas-San Antonio,4,8,33.33%
Toledo,6,6,50.00%
Troy,5,7,41.67%
Tulane,7,6,53.85%
Tulsa,4,8,33.33%
UCLA,4,8,33.33%
Utah,11,3,78.57%
Utah State,7,6,53.85%
Vanderbilt,3,9,25.00%
Virginia,9,5,64.29%
Virginia Tech,8,5,61.54%
Wake Forest,8,5,61.54%
Washington,8,5,61.54%
Washington State,6,7,46.15%
West Virginia,5,7,41.67%
Western Kentucky,9,4,69.23%
Western Michigan,7,6,53.85%
Wisconsin,10,4,71.43%
Wyoming,8,5,61.54%
