,College,Conference,Capacity,Opened
Stadium,Air Force,Mountain West,"52,237",1962
Falcon Stadium,Akron,MAC,"30,000",2009
InfoCision Stadium,Alabama,SEC,"101,821",1929
Bryant Denny Stadium,Appalachian State,Sun Belt,"24,150",1962
Kidd Brewer Stadium,Arizona,Pac 12,"56,037",1928
Arizona Stadium,Arizona State,Pac 12,"56,232",1958
Sun Devil Stadium,Arkansas,SEC,"72,000",1938
Razorback Stadium,Arkansas State,Sun Belt,"30,964",2002
Centennial Bank Stadium,Army,Independent,"38,000",1924
Michie Stadium,Auburn,SEC,"87,451",1939
Jordan Hare Stadium,Ball State,MAC,"22,500",1967
Scheumann Stadium,Baylor,Big 12,"45,140",2014
McLane Stadium,Boise State,Mountain West,"37,000",1970
Albertsons Stadium,Boston College,ACC,"44,500",1957
Alumni Stadium,Bowling Green,MAC,"23,724",1966
Doyt Perry Stadium,Buffalo,MAC,"29,013",1993
UB Stadium,Brigham Young,Independent,"63,725",1965
LaVell Edwards Stadium,California,Pac 12,"62,717",1923
Memorial Stadium,Central Florida,AAC,"45,323",2007
Bright House Networks Stadium,Central Michigan,MAC,"30,255",1972
Kelly Shorts Stadium,Cincinnati,AAC,"40,000",1916
Nippert Stadium,Clemson,ACC,"81,500",1942
Memorial Stadium,Coastal Carolina,Sun Belt,"15,000",2003
Brooks Stadium,Colorado,Pac 12,"53,750",1924
Folsom Field,Colorado State,Mountain West,"41,200",2017
Colorado State Stadium,Connecticut,AAC,"40,000",2003
Rentschler Field,Duke,ACC,"40,004",1929
Wallace Wade Stadium,East Carolina,AAC,"50,000",1963
Dowdy Ficklen Stadium,Eastern Michigan,MAC,"30,200",1969
Rynearson Stadium,Florida,SEC,"88,548",1930
Ben Hill Griffin Stadium,Florida Atlantic,CUSA,"30,000",2011
FAU Stadium,Florida International,CUSA,"23,500",1995
FIU Stadium,Florida State,ACC,"82,300",1950
Doak Campbell Stadium,Fresno State,Mountain West,"41,031",1980
Bulldog Stadium,Georgia,SEC,"92,746",1929
Sanford Stadium,Georgia Southern,Sun Belt,"24,300",1984
Paulson Stadium,Georgia State,Sun Belt,"23,000",1996
Georgia State Stadium,Georgia Tech,ACC,"55,000",1913
